Round,Overall,Player,Team,Year,Pos,School
3,91,Ricky Tiedemann, Blue Jays,2021,LHP,Golden West College
3,91,Jonathan Ornelas, Rangers,2018,3B,Raymond S Kellis HS
3,91,Anthony Walters, Mets,2020,2B,San Diego State
3,92,Zavier Warren, Brewers,2020,1B,Central Michigan
3,92,Joe Lampe, Guardians,2022,OF,Arizona State
3,92,Jack Kochanowicz, Angels,2019,RHP,Harriton HS
3,92,Ford Proctor, Rays,2018,2B,Rice
3,92,Brock Selvidge, Yankees,2021,LHP,Hamilton HS
3,93,Levi Prater, Cardinals,2020,LHP,Oklahoma
3,93,Tristin English, D-backs,2019,1B,Georgia Tech
3,93,Drew Gray, Cubs,2021,LHP,IMG Academy HS
3,93,Aaron Hernandez, Angels,2018,RHP,Texas A&M - Corpus Christi
3,93,Gabriel Rincones Jr., Phillies,2022,OF,Florida Atlantic
3,94,Sean Burke, White Sox,2021,RHP,Maryland
3,94,Kyle Isbel, Royals,2018,OF,UNLV
3,94,Drew Mendoza, Nationals,2019,3B,Florida State
3,94,Bryce Hubbart, Reds,2022,LHP,Florida State
3,94,Holden Powell, Nationals,2020,RHP,UCLA
3,95,Mateo Gil, Cardinals,2018,SS,Timber Creek HS
3,95,Petey Halpin, Guardians,2020,OF,Mira Costa HS
3,95,Jake Fox, Guardians,2021,SS,Lakeland Christian School
3,95,Matt Fraizer, Pirates,2019,OF,Arizona
3,95,Colby Thomas, Athletics,2022,OF,Mercer
3,96,Tony Locey, Cardinals,2019,RHP,Georgia
3,96,Hunter Barnhart, Rays,2020,RHP,St. Joseph HS
3,96,Terrin Vavra, Rockies,2018,OF,Minnesota
3,96,Dylan Dodd, Braves,2021,LHP,Southeast Missouri State
3,96,Drake Baldwin, Braves,2022,C,Missouri State
3,97,Mason Miller, Athletics,2021,RHP,Gardner-Webb University
3,97,Jesse Franklin V, Braves,2020,OF,Michigan
3,97,Pete Hansen, Cardinals,2022,LHP,Texas
3,97,Ryder Green, Yankees,2018,OF,Karns HS
3,97,Levi Stoudt, Mariners,2019,RHP,Lehigh
3,98,Cade Povich, Twins,2021,LHP,Nebraska
3,98,Michael Guldberg, Athletics,2020,OF,Georgia Tech
3,98,Michael Harris II, Braves,2019,OF,Stockbridge HS
3,98,Jimmy Herron, Cubs,2018,OF,Duke
3,98,Alan Roden, Blue Jays,2022,OF,Creighton
3,99,Shane Sasaki, Rays,2019,OF,Iolani HS
3,99,Dalton Rogers, Red Sox,2022,LHP,Southern Mississippi
3,99,Kevin Kopps, Padres,2021,RHP,Arkansas
3,99,Jackson Goddard, D-backs,2018,RHP,Kansas
3,99,Trevor Hauver, Yankees,2020,2B,Arizona State
3,100,Ryan Spikes, Rays,2021,SS,Parkview HS
3,100,Trystan Vrieling, Yankees,2022,RHP,Gonzaga
3,100,Jacob Wallace, Rockies,2019,RHP,Connecticut
3,100,Jake Vogel, Dodgers,2020,OF,Huntington Beach HS
3,100,Durbin Feltman, Red Sox,2018,RHP,TCU
3,101,Tyler Brown, Astros,2020,RHP,Vanderbilt
3,101,Jonathan Cannon, White Sox,2022,RHP,Georgia
3,101,Reid Schaller, Nationals,2018,RHP,Vanderbilt
3,101,Peter Heubeck, Dodgers,2021,RHP,Gilman School
3,101,Joe Naranjo, Guardians,2019,1B,Rueben S. Ayala HS
4,102,Owen Kellington, Pirates,2021,RHP,U-32 HS
4,102,Gage Workman, Tigers,2020,SS,Arizona State
3,102,Jeremy Pena, Astros,2018,SS,University of Maine - Orono
3,102,Dylan O'Rae, Brewers,2022,SS,Northern Collegiate
3,102,Ryan Pepiot, Dodgers,2019,RHP,Butler
4,103,Ian Moller, Rangers,2021,C,Wahlert HS
4,103,Coby Mayo, Orioles,2020,3B,Stoneman Douglas HS
3,103,Michael McAvene, Cubs,2019,RHP,Louisville
3,103,Michael Knorr, Astros,2022,RHP,Coastal Carolina
3,103,Richie Palacios, Guardians,2018,OF,Towson University
4,104,Tyler Mattison, Tigers,2021,RHP,Bryant University
4,104,Jake Eder, Marlins,2020,LHP,Vanderbilt
3,104,Trevor Martin, Rays,2022,RHP,Oklahoma State
3,104,John Rooney, Dodgers,2018,LHP,Hofstra
3,104,Marcus Smith, Athletics,2019,OF,Pembroke Hill HS
4,105,Christian Chamberlain, Royals,2020,LHP,Oregon State
4,105,Kingston Liniak, Tigers,2018,OF,Mission Hills HS
4,105,Elmer Rodriguez-Cruz, Red Sox,2021,RHP,Leadership Christian Academy
3,105,Alex Freeland, Dodgers,2022,SS,Central Florida
3,105,Jake Sanford, Yankees,2019,OF,Western Kentucky
4,106,Blake Rivera, Giants,2018,RHP,Wallace State CC
4,106,Nick Frasso, Blue Jays,2020,RHP,Loyola Marymount University
4,106,Donta' Williams, Orioles,2021,OF,Arizona
3,106,Jordan Brewer, Astros,2019,OF,Michigan
3,106,William Kempner, Giants,2022,RHP,Gonzaga
4,107,Tyler Keenan, Mariners,2020,3B,Ole Miss
4,107,Chad Patrick, D-backs,2021,RHP,Purdue University Northwest
4,107,Colton Eastman, Phillies,2018,RHP,Cal State Fullerton
4,107,Silas Ardoin, Orioles,2022,C,Texas
3,107,Ryan Zeferjahn, Red Sox,2019,RHP,Kansas
4,108,Shane Panzini, Royals,2021,RHP,Red Bank Catholic HS
4,108,Joey Ortiz, Orioles,2019,SS,New Mexico State
4,108,Dylan Ray, D-backs,2022,RHP,Alabama
4,108,Jack Hartman, Pirates,2020,RHP,Appalachian State
4,108,Lency Delgado, White Sox,2018,SS,Doral Academy
4,109,Hunter Goodman, Rockies,2021,C,University of Memphis
4,109,Levi Thomas, Padres,2020,RHP,Troy University
4,109,Michael Massey, Royals,2019,2B,University of Illinois
4,109,Brock Porter, Rangers,2022,RHP,St. Marys Prep
4,109,Michael Siani, Reds,2018,OF,William Penn Charter School
4,110,James Beard, White Sox,2019,OF,Loyd Star HS
4,110,Michael Kennedy, Pirates,2022,LHP,Troy HS
4,110,Adam Hill, Mets,2018,RHP,South Carolina
4,110,Luke Murphy, Angels,2021,RHP,Vanderbilt
4,110,Case Williams, Rockies,2020,RHP,Douglas County HS
4,111,JT Schwartz, Mets,2021,1B,UCLA
4,111,Brenner Cox, Nationals,2022,OF,Rock Hill HS
4,111,Dylan Coleman, Padres,2018,RHP,Missouri State
4,111,Werner Blakely, Angels,2020,SS,Detroit Edison HS
4,111,Evan Edwards, Marlins,2019,1B,North Carolina State
4,112,Marcus Johnson, Marlins,2022,RHP,Duke
4,112,Kade Mechals, White Sox,2020,RHP,Grand Canyon University
4,112,Dustin Saenz, Nationals,2021,LHP,Texas A&M
4,112,Tristan Beck, Braves,2018,RHP,Stanford
4,112,Ryan Kreidler, Tigers,2019,2B,UCLA
4,113,Matt Brash, Padres,2019,RHP,Niagara
4,113,Alfonso Rivas, Athletics,2018,1B,Arizona
4,113,Nazier Mule, Cubs,2022,RHP,Passaic County Technical Institute
4,113,Bryce Miller, Mariners,2021,RHP,Texas A&M
4,113,Mac Wainwright, Reds,2020,OF,St. Edward HS
4,114,Ivan Johnson, Reds,2019,SS,Chipola College
4,114,Aaron Shortridge, Pirates,2018,RHP,California
4,114,Andrew Morris, Twins,2022,RHP,Texas Tech
4,114,R.J. Dabovich, Giants,2020,RHP,Arizona State
4,114,Micah Ottenbreit, Phillies,2021,RHP,Trenton HS
4,115,Cody Freeman, Rangers,2019,C,Etiwanda HS
4,115,Eric Silva, Giants,2021,RHP,JSerra Catholic HS
4,115,Drew Rom, Orioles,2018,LHP,Highlands HS
4,115,Steven Zobac, Royals,2022,RHP,California
4,115,Dylan MacLean, Rangers,2020,LHP,Central Catholic HS
4,116,Carson Ragsdale, Phillies,2020,RHP,South Florida
4,116,Logan Henderson, Brewers,2021,RHP,McLennan CC
4,116,Tyler Fitzgerald, Giants,2019,SS,Louisville
4,116,Sean Wymer, Blue Jays,2018,RHP,TCU
4,116,Ryan Ritter, Rockies,2022,SS,Kentucky
4,117,Nick Fortes, Marlins,2018,C,Ole Miss
4,117,Luke Little, Cubs,2020,LHP,San Jacinto College North
4,117,Troy Melton, Tigers,2022,RHP,San Diego State
4,117,Alex Ulloa, Astros,2021,SS,Calvary Christian Academy
4,117,Will Robertson, Blue Jays,2019,OF,Creighton
4,118,Tanner Allen, Marlins,2021,OF,Mississippi State
4,118,Jake Mangum, Mets,2019,OF,Mississippi State
4,118,Michael Plassmeyer, Mariners,2018,LHP,Missouri
4,118,Jake Madden, Angels,2022,RHP,Northwest Florida State
4,118,Jeremy Wu-Yelland, Red Sox,2020,LHP,Hawaii
4,119,Ruben Ibarra, Reds,2021,1B,San Jose State
4,119,Seth Gray, Twins,2019,3B,Wright State University
4,119,A.J. Vukovich, D-backs,2020,3B,East Troy HS
4,119,Mason Englert, Rangers,2018,RHP,Forney HS
4,119,Jacob Reimer, Mets,2022,3B,Yucaipa HS
4,120,Grant Witherspoon, Rays,2018,OF,Tulane
4,120,Erik Miller, Phillies,2019,LHP,Stanford
4,120,Zane Mills, Cardinals,2021,RHP,Washington State
4,120,Lamar King Jr., Padres,2022,C,Calvert Hall College HS
4,120,Matt Dyer, Mets,2020,C,Arizona
4,121,Nate Furman, Guardians,2022,2B,UNC Charlotte
4,121,Joey Wiemer, Brewers,2020,OF,Cincinnati
4,121,Kyle Bradish, Angels,2018,RHP,New Mexico State
4,121,Chad Dallas, Blue Jays,2021,RHP,Tennessee
4,121,Erik Rivera, Angels,2019,OF,Puerto Rico Baseball Academy
4,122,Cooper Bowman, Yankees,2021,2B,Louisville
4,122,Glenallen Hill Jr., D-backs,2019,OF,Santa Cruz HS
4,122,Ian Bedell, Cardinals,2020,RHP,Missouri
4,122,Alex McFarlane, Phillies,2022,RHP,Miami
4,122,Eric Cole, Royals,2018,OF,Arkansas
4,123,Christian Franklin, Cubs,2021,OF,Arkansas
4,123,Brady Lindsly, Nationals,2020,C,Oklahoma
4,123,Matt Cronin, Nationals,2019,LHP,Arkansas
4,123,Steven Gingery, Cardinals,2018,LHP,Texas Tech
4,123,Kenya Huggins, Reds,2022,RHP,Chipola College
4,124,J.C. Flowers, Pirates,2019,RHP,Florida State
4,124,Brooks Gosswein, White Sox,2021,LHP,Bradley University
4,124,DaShawn Keirsey Jr., Twins,2018,OF,Utah
4,124,Jacob Watters, Athletics,2022,RHP,West Virginia
4,124,Milan Tolentino, Guardians,2020,SS,Santa Margarita HS
4,125,David McCabe, Braves,2022,3B,UNC Charlotte
4,125,Aaron Ashby, Brewers,2018,LHP,Crowder College
4,125,Ryan Webb, Guardians,2021,LHP,Georgia
4,125,Tanner Murray, Rays,2020,SS,University of California - Davis
4,125,Andre Pallante, Cardinals,2019,RHP,University of California - Irvine
4,126,Tim Elliott, Mariners,2019,RHP,Georgia
4,126,Ryan Feltner, Rockies,2018,RHP,Ohio State
4,126,Cal Conley, Braves,2021,SS,Texas Tech
4,126,Spencer Strider, Braves,2020,RHP,Clemson
4,126,Ashton Izzi, Mariners,2022,RHP,Oswego East HS
4,127,Franklin German, Yankees,2018,RHP,University of North Florida
4,127,Dane Acker, Athletics,2020,RHP,Oklahoma
4,127,Jimmy Crooks III, Cardinals,2022,C,Oklahoma
4,127,Denzel Clarke, Athletics,2021,OF,Cal State Northridge
4,127,Kasey Kalich, Braves,2019,RHP,Texas A&M
4,128,Ryan Jennings, Blue Jays,2022,RHP,Louisiana Tech
4,128,Christian Encarnacion-Strand, Twins,2021,3B,Oklahoma State
4,128,Ethan Roberts, Cubs,2018,RHP,Tennessee Tech
4,128,Graeme Stinson, Rays,2019,LHP,Duke
4,128,Marco Raya, Twins,2020,RHP,United South HS
4,129,Chase Meidroth, Red Sox,2022,2B,University of San Diego
4,129,Jackson Wolf, Padres,2021,LHP,West Virginia
4,129,Ryan Weiss, D-backs,2018,RHP,Wright State University
4,129,Beck Way, Yankees,2020,RHP,Northwest Florida State
4,129,Brenton Doyle, Rockies,2019,OF,Shepherd University
4,130,Anthony Hall, Yankees,2022,OF,Oregon
4,130,Carson Taylor, Dodgers,2020,C,Virginia Tech
4,130,Dru Baker, Rays,2021,OF,Texas Tech
4,130,Christian Cairo, Guardians,2019,2B,Calvary Christian HS
4,130,Kole Cottam, Red Sox,2018,C,Kentucky
4,131,Jordan Sprinkle, White Sox,2022,SS,UC Santa Barbara
4,131,Brandon Lewis, Dodgers,2019,3B,University of California - Irvine
4,131,Zach Daniels, Astros,2020,OF,Tennessee
4,131,Jake Irvin, Nationals,2018,RHP,Oklahoma
4,131,Nick Nastrini, Dodgers,2021,RHP,UCLA
5,132,Colt Keith, Tigers,2020,3B,Biloxi HS
4,132,Alex McKenna, Astros,2018,OF,Cal Poly - San Luis Obispo
4,132,Matthew Wood, Brewers,2022,C,Penn State
4,132,Chris Clarke, Cubs,2019,RHP,USC
4C,132,Chayce McDermott, Astros,2021,RHP,Ball State
5,133,Carter Baumler, Orioles,2020,RHP,Dowling Catholic HS
5,133,Jackson Glenn, Pirates,2021,3B,Dallas Baptist
4,133,Adam Scott, Guardians,2018,LHP,Wofford
4,133,Trey Dombroski, Astros,2022,LHP,Monmouth University
4,133,Nick Kahle, Brewers,2019,C,Washington
5,134,Kyle Hurt, Marlins,2020,RHP,USC
5,134,Mitch Bratt, Rangers,2021,LHP,Georgia Premier Academy
4,134,Dominic Keegan, Rays,2022,C,Vanderbilt
4,134,Braydon Fisher, Dodgers,2018,RHP,Clear Falls HS
4,134,Kyle McCann, Athletics,2019,C,Georgia Tech
5,135,Will Klein, Royals,2020,RHP,Eastern Illinois
5,135,Tanner Kohlhepp, Tigers,2021,RHP,Notre Dame
5,135,Adam Wolf, Tigers,2018,LHP,Louisville
4,135,Jake Agnos, Yankees,2019,LHP,East Carolina
4,135,Nick Biddison, Dodgers,2022,OF,Virginia Tech
5,136,Keaton Winn, Giants,2018,RHP,Iowa Western CC
5,136,Nathan Hickey, Red Sox,2021,C,Florida
5,136,Zach Britton, Blue Jays,2020,C,Louisville
4,136,Colin Barber, Astros,2019,OF,Pleasant Valley HS
4,136,Spencer Miles, Giants,2022,RHP,Missouri
5,137,Taylor Dollard, Mariners,2020,RHP,Cal Poly
5,137,Matt Vierling, Phillies,2018,OF,Notre Dame
5,137,Trace Bright, Orioles,2022,RHP,Auburn
5,137,Carlos Tavera, Orioles,2021,RHP,University of Texas - Arlington
4,137,Noah Song, Red Sox,2019,RHP,Navy
5,138,Jonathan Stiever, White Sox,2018,RHP,Indiana
5,138,Darell Hernaiz, Orioles,2019,2B,Americas HS
5,138,Logan Hofmann, Pirates,2020,RHP,Northwestern State
5,138,Caleb Roberts, D-backs,2021,C,North Carolina
5,138,Andrew Pintar, D-backs,2022,SS,BYU
5,139,John Rave, Royals,2019,OF,Illinois State
5,139,Ryan Campbell, Reds,2018,RHP,University of Illinois at Chicago
5,139,Chandler Pollard, Rangers,2022,OF,Woodward Academy
5,139,Jagger Haynes, Padres,2020,LHP,West Columbus HS
5,139,Eric Cerantola, Royals,2021,RHP,Mississippi State
5,140,Dan Metzdorf, White Sox,2019,LHP,Boston College
5,140,Jack Blomgren, Rockies,2020,SS,Michigan
5,140,Evan Justice, Rockies,2021,LHP,NC State
5,140,Ryley Gilliam, Mets,2018,RHP,Clemson
5,140,Tres Gonzalez, Pirates,2022,OF,Georgia Tech
5,141,Brett Kerry, Angels,2021,RHP,South Carolina
5,141,Jared McKenzie, Nationals,2022,OF,Baylor
5,141,Dwanya Williams-Sutton, Padres,2018,OF,East Carolina
5,141,Evan Fitterer, Marlins,2019,RHP,Aliso Niguel HS
5,141,Adam Seminaris, Angels,2020,LHP,Long Beach State
5,142,Christian Scott, Mets,2021,RHP,Florida
5,142,Josh White, Marlins,2022,RHP,California
5,142,Bailey Horn, White Sox,2020,LHP,Auburn
5,142,Trey Riley, Braves,2018,RHP,John A. Logan College
5,142,Bryant Packard, Tigers,2019,OF,East Carolina
5,143,T.J. White, Nationals,2021,OF,Dorman HS
5,143,Brady Feigl, Athletics,2018,RHP,Ole Miss
5,143,Chris Lincoln, Padres,2019,RHP,UC Santa Barbara
5,143,Joe Boyle, Reds,2020,RHP,Notre Dame
5,143,Brandon Birdsell, Cubs,2022,RHP,Texas Tech
5,144,Evan Kravetz, Reds,2019,LHP,Rice
5,144,Ryan Murphy, Giants,2020,RHP,Le Moyne College
5,144,Grant Koch, Pirates,2018,C,Arkansas
5,144,Ben Ross, Twins,2022,SS,Notre Dame Col
5,144,Andy Thomas, Mariners,2021,C,Baylor
5,145,Hunter Patteson, Royals,2022,LHP,Central Florida
5,145,Griff McGarry, Phillies,2021,RHP,Virginia
5,145,Kellen Strahm, Rangers,2019,OF,San Jose State
5,145,Robert Neustrom, Orioles,2018,OF,Iowa
5,145,Thomas Saggese, Rangers,2020,SS,Carlsbad HS
5,146,Rohan Handa, Giants,2021,LHP,Yale
5,146,Connor Staine, Rockies,2022,RHP,Central Florida
5,146,Garrett Frechette, Giants,2019,1B,Orange Lutheran HS
5,146,Chris Bec, Blue Jays,2018,C,University of Maine - Orono
5,146,Baron Radcliff, Phillies,2020,OF,Georgia Tech
5,147,Koen Moreno, Cubs,2020,RHP,Panther Creek HS
5,147,Ethan Murray, Brewers,2021,SS,Duke
5,147,Luke Gold, Tigers,2022,2B,Boston College
5,147,Chris Vallimont, Marlins,2018,RHP,Mercyhurst College
5,147,Tanner Morris, Blue Jays,2019,2B,Virginia
5,148,Sonny DiChiara, Angels,2022,1B,Auburn
5,148,Shane Drohan, Red Sox,2020,LHP,Florida State
5,148,Nolan Hoffman, Mariners,2018,RHP,Texas A&M
5,148,Nate Jones, Mets,2019,RHP,Northwestern State
5,148,Quincy Hamilton, Astros,2021,OF,Wright State University
5,149,Brandon Pfaadt, D-backs,2020,RHP,Bellarmine University
5,149,Brady Allen, Marlins,2021,OF,South Carolina
5,149,D'Andre Smith, Mets,2022,2B,USC
5,149,Jayce Easley, Rangers,2018,2B,Sandra Day O'Connor HS
5,149,Will Holland, Twins,2019,SS,Auburn
5,150,Gunner Mayer, Phillies,2019,RHP,San Joaquin Delta College
5,150,Eric Orze, Mets,2020,RHP,University of New Orleans
5,150,Nathan Martorella, Padres,2022,1B,California
5,150,Thomas Farr, Reds,2021,RHP,South Carolina
5,150,Taj Bradley, Rays,2018,RHP,Redan HS
5,151,William Holmes, Angels,2018,RHP,Western International HS
5,151,Garrett Stallings, Angels,2019,RHP,Tennessee
5,151,Gordon Graceffo, Cardinals,2021,RHP,Villanova
5,151,Hayden Cantrelle, Brewers,2020,2B,University of Louisiana at Lafayette
5,151,Guy Lipscomb, Guardians,2022,OF,Belmont University
5,152,Austin Cox, Royals,2018,LHP,Mercer
5,152,Conor Grammes, D-backs,2019,RHP,Xavier
5,152,Irv Carter, Blue Jays,2021,RHP,Calvary Christian Academy
5,152,L.J. Jones, Cardinals,2020,OF,Long Beach State
5,152,Orion Kerkering, Phillies,2022,RHP,South Florida
5,153,Mitchell Parker, Nationals,2020,LHP,San Jacinto College North
5,153,Cade Hunter, Reds,2022,C,Virginia Tech
5,153,Tyler Hardman, Yankees,2021,1B,Oklahoma
5,153,Nick Dunn, Cardinals,2018,2B,Maryland
5,153,Tyler Dyson, Nationals,2019,RHP,Florida
5,154,Mason Hickman, Guardians,2020,RHP,Vanderbilt
5,154,Cole Sands, Twins,2018,RHP,Florida State
5,154,Grant Ford, Pirates,2019,RHP,Nevada
5,154,Liam Spence, Cubs,2021,SS,Tennessee
5,154,Jack Perkins, Athletics,2022,RHP,Indiana
5,155,Justin Jarvis, Brewers,2018,RHP,Lake Norman HS
5,155,Jeff Hakanson, Rays,2020,RHP,Central Florida
5,155,Connor Thomas, Cardinals,2019,LHP,Georgia Tech
5,155,Ignacio Alvarez, Braves,2022,3B,Riverside CC
5,155,Tanner McDougal, White Sox,2021,RHP,Silverado HS
5,156,Jake Bird, Rockies,2018,RHP,UCLA
5,156,Bryce Elder, Braves,2020,RHP,Texas
5,156,Tanner Bibee, Guardians,2021,RHP,Cal State Fullerton
5,156,Austin Shenton, Mariners,2019,3B,Florida International
5,156,Reid VanScoter, Mariners,2022,LHP,Coastal Carolina
5,157,Brandon Lockridge, Yankees,2018,OF,Troy University
5,157,Luke Waddell, Braves,2021,3B,Georgia Tech
5,157,Stevie Emanuels, Athletics,2020,RHP,Washington
5,157,Stephen Paolini, Braves,2019,OF,St Josephs School
5,157,Victor Scott II, Cardinals,2022,OF,West Virginia
5,158,Mason Fluharty, Blue Jays,2022,LHP,Liberty University
5,158,Andy Weber, Cubs,2018,SS,Virginia
5,158,CJ Rodriguez, Athletics,2021,C,Vanderbilt
5,158,Ben Brecht, Rays,2019,LHP,UC Santa Barbara
5,158,Kala'i Rosario, Twins,2020,OF,Waiakea HS
5,159,Gavin Stone, Dodgers,2020,RHP,Central Arkansas
5,159,Christian MacLeod, Twins,2021,LHP,Mississippi State
5,159,Will Ethridge, Rockies,2019,RHP,Ole Miss
5,159,Noah Dean, Red Sox,2022,LHP,Old Dominion
5,159,Matt Mercer, D-backs,2018,RHP,Oregon
5,160,Hunter Gaddis, Guardians,2019,RHP,Georgia State
5,160,Shay Whitcomb, Astros,2020,SS,UC San Diego
5,160,Thaddeus Ward, Red Sox,2018,RHP,Central Florida
5,160,Eric Reyzelman, Yankees,2022,RHP,LSU
5,160,Max Ferguson, Padres,2021,2B,Tennessee
5,161,Mason Auer, Rays,2021,OF,San Jacinto College North
5,161,Jack Little, Dodgers,2019,RHP,Stanford
5,161,Gage Canning, Nationals,2018,OF,Arizona State
5,161,Tyler Schweitzer, White Sox,2022,LHP,Ball State
5,162,Will Rudy, Brewers,2022,RHP,Cal Poly Pomona
5,162,Ben Casparius, Dodgers,2021,RHP,Connecticut
5,162,Josh Burgmann, Cubs,2019,RHP,Washington
5,162,Cody Deason, Astros,2018,RHP,Arizona
6,163,Mike Jarvis, Pirates,2021,OF,San Diego State
5,163,Nolan DeVos, Astros,2022,RHP,Davidson
5,163,Thomas Dillard, Brewers,2019,C,Ole Miss
5,163,Steven Kwan, Guardians,2018,OF,Oregon State
6,164,Chase Lee, Rangers,2021,RHP,Alabama
5,164,Jalen Battles, Rays,2022,SS,Arkansas
5,164,Devin Mann, Dodgers,2018,1B,Louisville
5,164,Jalen Greer, Athletics,2019,SS,St. Rita HS
6,165,Hugh Smith, Tigers,2018,RHP,Whitworth University
6,165,Austin Murr, Tigers,2021,1B,NC State
5,165,Sean McLain, Dodgers,2022,2B,Arizona State
5,165,Ken Waldichuk, Yankees,2019,LHP,St. Marys
6,166,P.J. Hilson, Giants,2018,OF,Nettleton Senior HS
6,166,Daniel McElveny, Red Sox,2021,IF,Bonita Vista HS
5,166,Hunter Brown, Astros,2019,RHP,Wayne State
5,166,Liam Simon, Giants,2022,RHP,Notre Dame
6,167,Collin Burns, Orioles,2021,SS,Tulane
6,167,Kendall Simmons, Phillies,2018,SS,Tattnall Square Academy
6,167,Douglas Hodo III, Orioles,2022,OF,Texas
5,167,Jaxx Groshans, Red Sox,2019,C,Kansas
6,168,Codi Heuer, White Sox,2018,RHP,Wichita State
6,168,Will Mabrey, D-backs,2022,LHP,Tennessee
6,168,Luke Albright, D-backs,2021,RHP,Kent State
6,168,Maverick Handley, Orioles,2019,C,Stanford
6,169,Tommy Specht, Rangers,2022,OF,Wahlert HS
6,169,Yomil Maysonet, Reds,2018,RHP,PJ Education School
6,169,Dante Biasi, Royals,2019,LHP,Penn State
6,169,Dayton Dooney, Royals,2021,2B,Central Arizona College
6,170,Derek Diamond, Pirates,2022,RHP,Ole Miss
6,170,Avery Weems, White Sox,2019,LHP,Arizona
6,170,Braxton Fulford, Rockies,2021,C,Texas Tech
6,170,Nick Meyer, Mets,2018,C,Cal Poly - San Luis Obispo
6,171,Jake Smith, Angels,2021,RHP,Miami
6,171,Alexuan Vega, Padres,2018,LHP,Leonides Morales Rodriguez HS
6,171,Nathaniel Ochoa Leyva, Nationals,2022,3B,Notre Dame Catholic SS
6,171,M.D. Johnson, Marlins,2019,RHP,Dallas Baptist
6,172,Andrew Moritz, Braves,2018,OF,UNC Greensboro
6,172,Carson Seymour, Mets,2021,RHP,Kansas State
6,172,Jared Poland, Marlins,2022,RHP,Louisville
6,172,Cooper Johnson, Tigers,2019,C,Ole Miss
6,173,Lawrence Butler, Athletics,2018,OF,Westlake HS
6,173,Drake Fellows, Padres,2019,RHP,Vanderbilt
6,173,Michael Kirian, Nationals,2021,LHP,Louisville
6,173,Will Frisch, Cubs,2022,RHP,Oregon State
6,174,Jorel Ortega, Twins,2022,SS,Tennessee
6,174,Bryan Woo, Mariners,2021,RHP,Cal Poly
6,174,Michael Flynn, Pirates,2018,RHP,Arizona
6,174,Graham Ashcraft, Reds,2019,RHP,Alabama - Birmingham
6,175,Cody Bradford, Rangers,2019,LHP,Baylor
6,175,Yeancarlos Lleras, Orioles,2018,RHP,Leadership Christian Academy
6,175,Jose Pena Jr., Phillies,2021,RHP,Tampa Preparatory School
6,175,Hayden Dunhurst, Royals,2022,C,Ole Miss
6,176,Michael Prosecky, Rockies,2022,LHP,Louisville
6,176,Addison Barger, Blue Jays,2018,3B,C Leon King HS
6,176,Seth Lonsway, Giants,2021,LHP,Ohio State
6,176,Dilan Rosario, Giants,2019,SS,Colegio Marista HS
6,177,Danny Serretti, Tigers,2022,SS,North Carolina
6,177,Cam Eden, Blue Jays,2019,OF,California
6,177,Cameron Barstad, Marlins,2018,C,Junipero Serra HS
6,177,Carlos F. Rodriguez, Brewers,2021,RHP,Florida SouthWestern State College
